Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a17b308c1d5e135c513f618240ff92342da77c5683c474c40084374da1c20d17,2023-04,Dorset Police,Dorset Police,-1.994562,50.744966,On or near Technology Road,E01015421,Poole 006E,Investigation complete; no suspect identified
821776ad96b3821c2a93ef1f12e1977a1327aec1e9c9b7d764f0cf73e8eb4590,2023-04,Dorset Police,Dorset Police,-1.842187,50.748970,On or near Bradpole Road,E01015340,Bournemouth 008C,Investigation complete; no suspect identified
e9c7450de646fba718ca478f118ab84df5c4418106192943ad2e0e6a9bce1e32,2023-04,Dorset Police,Dorset Police,-1.863024,50.729059,On or near Wessex Way,E01015328,Bournemouth 017E,Investigation complete; no suspect identified
b7d9ab1d4da29be8b882cb1281ab32020db51fe969d23a8dff3bb2a9129949e2,2023-04,Dorset Police,Dorset Police,-2.156664,50.872879,On or near ,E01020436,North Dorset 007B,Investigation complete; no suspect identified
f7bf88f672c8f1651159413621874e04f01c2aaae597a68238467da5b819b965,2023-04,Dorset Police,Dorset Police,-1.918825,50.750766,On or near Downey Close,E01015359,Bournemouth 005E,Investigation complete; no suspect identified
4ef181baaa1c7fac1f02ca524bdd8c540e87f203e90cf508a4f582e09fd47d7a,2023-04,Dorset Police,Dorset Police,-1.876313,50.869574,On or near St Michaels Road,E01020415,East Dorset 003E,Investigation complete; no suspect identified
c562b267962ab29a58039b6167bf7fe70ff6ec1b87ec903029253648116a0136,2023-04,Dorset Police,Dorset Police,-1.862969,50.757647,On or near Spetisbury Close,E01015349,Bournemouth 004B,Investigation complete; no suspect identified
f5cf5ac99eb2d1877ebf5a0e0349bbf8ca187d4bb07cbc1d610324c94e81f49a,2023-04,Dorset Police,Dorset Police,-1.893615,50.722239,On or near ,E01015372,Bournemouth 023B,Investigation complete; no suspect identified
0d68568ebdf211e19476fcaddbcbf2728fcaad624551bb7a69a24b555d461341,2023-04,Dorset Police,Dorset Police,-1.983106,50.715640,On or near Globe Lane,E01032660,Poole 015G,Investigation complete; no suspect identified
2530a9cfb20313160af64742433c08ddf2f0e70c7d26f34b3f22065fd1f3ef57,2023-04,Dorset Police,Dorset Police,-1.786582,50.745410,On or near Rimbury Way,E01020359,Christchurch 002D,Investigation complete; no suspect identified
4d62e4f18e2707c90a51815ac0517c044b5bf0e77426cfa56e933fd157f1dadc,2023-04,Dorset Police,Dorset Police,-1.911212,50.758467,On or near Cunningham Place,E01015313,Bournemouth 005D,Investigation complete; no suspect identified
22a495020278a59bbc2d9a9f236506721c92c975cdff7fee1e514cf3db542dfb,2023-04,Dorset Police,Dorset Police,-1.780841,50.739653,On or near Lights Close,E01020368,Christchurch 006E,Investigation complete; no suspect identified
2ac7fbcbba55e183af68d1a490813d5664c89b78135b4e0162c1974436e72136,2023-04,Dorset Police,Dorset Police,-1.974390,50.726016,On or near Jolliffe Road,E01015446,Poole 012B,Investigation complete; no suspect identified
6e2ecb7506ffcf6406140970cd80b4ba06231c958a871bb8523ee1a98f65efa1,2023-04,Dorset Police,Dorset Police,-2.166375,50.854161,On or near ,E01020438,North Dorset 007D,Investigation complete; no suspect identified
f79c5978bbac20369fd782cae00603f9a5cc7c8d497d41a55701e116ae219af4,2023-04,Dorset Police,Dorset Police,-2.487556,50.609018,On or near St Helen's Road,E01020578,Weymouth and Portland 005D,Investigation complete; no suspect identified
09917cc92bc7ee8484d4dc5def8d2d13e0c8b9f5321002a7dcca288dc00e39aa,2023-04,Dorset Police,Dorset Police,-1.956399,50.723529,On or near Commercial Road,E01015456,Poole 011D,Investigation complete; no suspect identified
44ee9ceca8fb796a282829f24a608056a48f30b63238bfc4d33f24050736bfec,2023-04,Dorset Police,Dorset Police,-1.883395,50.719019,On or near Tregonwell Close,E01015367,Bournemouth 024A,Investigation complete; no suspect identified
726688121d2780f633037834c19ee580911a03841e5430ff9ed45b14a48eb6de,2023-04,Dorset Police,Dorset Police,-1.866628,50.722301,On or near Lansdowne Crescent,E01015285,Bournemouth 021A,Investigation complete; no suspect identified
72896ba9a2f2b77bc15a45b96cca9d9b548baa4f785e6eb11a5fabcfd438e5ca,2023-04,Dorset Police,Dorset Police,-1.985458,50.714580,On or near High Street,E01032659,Poole 015F,Investigation complete; no suspect identified
e6cf8e785cfc82b236023fe99be722344e9d4d7a65c72fd5c6b9fcbc191cf0d1,2023-04,Dorset Police,Dorset Police,-1.964363,50.795437,On or near Ainsley Road,E01020427,East Dorset 010B,Investigation complete; no suspect identified
b6262441fa8f3d29703b77a2b91d1adf897d15a2976cb30f63a4bfe5c82b2307,2023-04,Dorset Police,Dorset Police,-1.980301,50.716404,On or near ,E01032660,Poole 015G,Investigation complete; no suspect identified
af84574f112f85dfbc884f0510c57425a9062b75819b8ea63bf6879137482475,2023-04,Dorset Police,Dorset Police,-1.836500,50.725257,On or near Grantley Road,E01015280,Bournemouth 019C,Investigation complete; no suspect identified
4d6d80d65fefa31cd04bd7488e042f6ade6ca3378a1a60255aab1847b5bf926c,2023-04,Dorset Police,Dorset Police,-2.021217,50.765657,On or near Wareham Road,E01020383,East Dorset 012B,Investigation complete; no suspect identified
2f81ec2e2905890f8b41ac25d4924a9fea0da81c367934d356be9ae1ea9c6e7b,2023-04,Dorset Police,Dorset Police,-2.154821,50.870112,On or near Alner Road,E01020436,North Dorset 007B,Investigation complete; no suspect identified
257b402b0ff61a665180ed9ee736821211a377caba635a6ff5342d062399820e,2023-04,Dorset Police,Dorset Police,-1.980301,50.716404,On or near ,E01032660,Poole 015G,Investigation complete; no suspect identified
cd717da51ceda3fd3a2540f0787e9dd037705c4a19f864ce87e146d98e648f95,2023-04,Dorset Police,Dorset Police,-1.841587,50.725004,On or near Windsor Road,E01015282,Bournemouth 019E,Investigation complete; no suspect identified
2d1d83e64c6fc070f8daa2323ba210ea37f578d07531420e856c06419cf9ec98,2023-04,Dorset Police,Dorset Police,-1.788846,50.727411,On or near Broadlands Avenue,E01015298,Bournemouth 020C,Investigation complete; no suspect identified
d4efc2104b6c93ea6dae7fbde933ed375a1d278b4aeea3228ab33c98d13fb6ce,2023-04,Dorset Police,Dorset Police,-1.758065,50.737171,On or near The Strete,E01020346,Christchurch 005A,Investigation complete; no suspect identified
190c3f75a2e3685e5bdf8cac47f819677bb89c574c114320df644db8b20e0a93,2023-04,Dorset Police,Dorset Police,-2.579696,50.736213,On or near Tout Hill Lane,E01020534,West Dorset 003F,Investigation complete; no suspect identified
ef0e723aeac4d3049b7c6a3b8583aca861691a9c2fcb8f02746941800dd1089f,2023-04,Dorset Police,Dorset Police,-1.756256,50.736331,On or near Stroud Park Avenue,E01020346,Christchurch 005A,Investigation complete; no suspect identified
be70cb6ac79fb56674f782fd0ac56398d367cc518a5e21b7bcca32232d2cfc3b,2023-04,Dorset Police,Dorset Police,-1.980301,50.716404,On or near ,E01032660,Poole 015G,Investigation complete; no suspect identified
a95139ce5724e692d36d06981eaa3fdc9672c9282886f99e6f8ef2d8a810bc3f,2023-04,Dorset Police,Dorset Police,-1.873221,50.746661,On or near Alexander Gardens,E01015377,Bournemouth 009E,Investigation complete; no suspect identified
90e9271594109f0e928ca26f0f87a7ac08b9cb8fac7917abf9af3e1410392ef0,2023-04,Dorset Police,Dorset Police,-1.983106,50.715640,On or near Globe Lane,E01032660,Poole 015G,Investigation complete; no suspect identified
71b80185c6591790379856bedf03bafbb3fe17b27268d7aa29b022b2ff76660e,2023-04,Dorset Police,Dorset Police,-2.757253,50.734260,On or near Rax Lane,E01020500,West Dorset 006C,Investigation complete; no suspect identified
086f8dbc9db16c21b30df79a471496e2310633258ce8e978c6d6bac390c24032,2023-04,Dorset Police,Dorset Police,-1.816742,50.745722,On or near ,E01015319,Bournemouth 011D,Investigation complete; no suspect identified
ab3bf3e02a05933ec22f8045ef9a8c28c933829bb1dc1998337ad270a4228ea7,2023-04,Dorset Police,Dorset Police,-1.854306,50.872426,On or near Rosebery Close,E01020419,East Dorset 002D,Investigation complete; no suspect identified
f35bd50adda30fadc93096541f90da16d9b056147d652c60cbd1106fb940c098,2023-04,Dorset Police,Dorset Police,-2.500311,50.698893,On or near Hardy Close,E01020549,West Dorset 011D,Investigation complete; no suspect identified
da944ae143326aa7887bbcb5b01a7284b881b9a09410c524c5354d4a8e6c6179,2023-04,Dorset Police,Dorset Police,-1.872734,50.717056,On or near ,E01015285,Bournemouth 021A,Investigation complete; no suspect identified
b8b5630f91dd7754e9d7354bc65048c3f8edbc6582ccd2a374d3455dd30e257d,2023-04,Dorset Police,Dorset Police,-1.880632,50.719362,On or near ,E01015283,Bournemouth 017A,Investigation complete; no suspect identified
6948ab89aac2afebea689055faad4af96e1d10cc5a9a97156630496da136a72f,2023-04,Dorset Police,Dorset Police,-1.964332,50.742704,On or near Adastral Road,E01015408,Poole 005B,Investigation complete; no suspect identified
6a9c4773f0db00d87ee2310c6c509e5bd20cf4bf95fa7365e82b46ba5a2a7d4d,2023-04,Dorset Police,Dorset Police,-1.710184,50.750668,On or near Cranemoor Gardens,E01020358,Christchurch 003D,Investigation complete; no suspect identified
19beba1107e62fe7f36bbbeeb9edfafadc4437c57052b3d5b44bf93dafe4620a,2023-04,Dorset Police,Dorset Police,-1.950717,50.738077,On or near Franks Way,E01015439,Poole 008B,Investigation complete; no suspect identified
818f6721953862b6185a1d74f94bb6394446f4063a96cd8304ba323d64d253a7,2023-04,Dorset Police,Dorset Police,-2.757458,50.733818,On or near Downes Street,E01020500,West Dorset 006C,Investigation complete; no suspect identified
1ff156b2148e948baf84b0d99fee8a4e97a7f6168c79b7b9946e3f0657633e88,2023-04,Dorset Police,Dorset Police,-1.885607,50.717969,On or near West Hill Road,E01015367,Bournemouth 024A,Investigation complete; no suspect identified
47f46455f83cb0f807067e4957d7b28031a386f4a7f3af6c60117c8d607c09b8,2023-04,Dorset Police,Dorset Police,-2.451973,50.607768,On or near South Parade,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
c9bb7efa1c765ac1e9267fa03829562e5573d994a0430d802c656179ff4c4077,2023-04,Dorset Police,Dorset Police,-1.980301,50.716404,On or near ,E01032660,Poole 015G,Investigation complete; no suspect identified
