Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2025-09-12T18:25:00+00:00,,,53.142203,0.338661,Male,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False
Person search,2025-09-12T18:25:00+00:00,,,53.142203,0.338661,Male,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False
Person search,2025-09-12T18:25:00+00:00,,,53.142203,0.338661,Male,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False
Person search,2025-09-12T21:20:00+00:00,,,53.008264,-0.417762,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Community resolution,True,False
Person and Vehicle search,2025-09-12T21:20:00+00:00,,,53.008264,-0.417762,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,False
Person search,2025-09-13T10:28:00+00:00,,,53.398936,-0.773801,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False
Person search,2025-09-13T10:32:00+00:00,,,53.398936,-0.773801,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False
Person search,2025-09-13T14:40:00+00:00,,,53.215736,-0.547088,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,False,False
Person search,2025-09-13T16:00:00+00:00,,,52.916497,-0.630164,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,False
Person search,2025-09-13T21:30:00+00:00,,,53.170119,-0.484718,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,False
Person and Vehicle search,2025-09-13T21:46:00+00:00,,,53.170119,-0.484718,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,False
Person search,2025-09-14T20:50:00+00:00,,,53.210541,-0.561439,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,False
Person and Vehicle search,2025-09-14T20:50:00+00:00,,,53.226908,-0.595666,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Arrest,True,False
Person search,2025-09-15T10:15:00+00:00,,,53.252112,-0.531271,Male,18-24,Other ethnic group - Not stated,White,,Controlled drugs,A no further action disposal,False,False
Person search,2025-09-15T14:02:00+00:00,,,52.803732,0.016017,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False
Person and Vehicle search,2025-09-15T20:39:00+00:00,,,53.399920,-0.771940,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Evidence of offences under the Act,A no further action disposal,False,False
Person search,2025-09-15T22:15:00+00:00,,,53.168227,0.089407,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False
Person search,2025-09-16T01:35:00+00:00,,,52.973757,-0.039273,Male,18-24,White - Any other White background,White,,Controlled drugs,A no further action disposal,False,False
Person search,2025-09-16T01:37:00+00:00,,,52.973757,-0.039273,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Community resolution,True,False
Person search,2025-09-16T09:50:00+00:00,,,53.240342,-0.520885,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,False
Person search,2025-09-16T14:57:00+00:00,,,53.390944,-0.760109,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,False
Person search,2025-09-16T15:00:00+00:00,,,53.390944,-0.760109,Male,25-34,Other ethnic group - Not stated,White,,Controlled drugs,A no further action disposal,False,False
Person search,2025-09-16T15:20:00+00:00,,,53.244625,-0.537942,Male,over 34,White - Any other White background,White,,Controlled drugs,A no further action disposal,False,False
Person search,2025-09-16T16:50:00+00:00,,,53.394589,-0.774470,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Arrest,True,False
Person search,2025-09-17T00:01:00+00:00,,,52.934237,-0.673184,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False
Person search,2025-09-17T00:01:00+00:00,,,52.934237,-0.673184,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False
Person and Vehicle search,2025-09-17T00:01:00+00:00,,,52.934237,-0.673184,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False
Person search,2025-09-17T00:01:00+00:00,,,52.934237,-0.673184,Male,25-34,Asian/Asian British - Any other Asian background,Asian,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False
Person search,2025-09-17T01:16:00+00:00,,,53.390144,-0.771410,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False
Person and Vehicle search,2025-09-17T03:30:00+00:00,,,52.934237,-0.673184,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False
Person search,2025-09-17T04:10:00+00:00,,,52.934237,-0.673184,Female,over 34,Asian/Asian British - Any other Asian background,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False
Person search,2025-09-17T14:40:00+00:00,,,53.244625,-0.537942,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,True,False
Person search,2025-09-17T14:40:00+00:00,,,53.244625,-0.537942,Male,25-34,Other ethnic group - Not stated,,,Controlled drugs,A no further action disposal,False,False
Person search,2025-09-17T15:07:00+00:00,,,53.143845,0.332424,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,False,False
